Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2312.93592559533	4274.48667024745	4860.13465760289	61.5820638010292	131.9732316668
2	794330	3146.67340771116	4745.55500861731	5694.01842942306	56.4525151261014	133.483255662987
3	630960	4305.52482394762	5194.25645685345	6746.69134829754	50.3446275078213	134.958282659263
4	501190	5556.36589196069	5733.65873412378	7984.23724627081	45.8996700234224	136.568314655198
5	398110	6876.58442411959	6034.69002669223	9149.03804016044	41.2692447995005	142.608427639948
6	316230	8184.4669263132	6011.50101804355	10154.9812091334	36.2973279263056	143.868450636767
7	251190	9136.3729034351	5767.94780733436	10804.7457970448	32.2649154457982	149.048544623689
8	199530	10201.9165553417	5592.29937387544	11634.1271133336	28.7298634786659	150.463571620116
9	158490	11167.6632962573	5345.7574280276	12381.1883911798	25.5795910043054	151.958596616341
10	125890	12047.471447433	5045.31107651711	13061.2683968878	22.723247786409	153.418623612655
11	100000	12838.8550354963	4713.94056526635	13676.894175044	20.1613199535596	154.853653609032
12	79433	13556.5853835067	4362.95517088082	14241.3617706813	17.8398833636598	156.163676605725
13	63096	14149.6138438236	4011.78379402806	14707.3444625245	15.8294135086929	157.65870360195
14	50119	14748.9292177794	3659.971993438	15196.2596734794	13.9365303072954	159.153732598175
15	39811	15243.8429540702	3329.56371096654	15603.228592626	12.3210545443495	160.553755594641
16	31623	15630.994771197	2989.81868694908	15914.3649988939	10.8284579672678	161.918783591194
17	25119	15998.0232050275	2684.68021911805	16221.7216825934	9.52622899214398	163.303809587698
18	19953	16320.6266040597	2465.77274448835	16505.8440552613	8.59145390926452	164.698832584175
19	15849	16603.9790603901	2247.53928029007	16755.4037090821	7.70878770723882	166.158860580489
20	12589	16856.5843695209	2059.14445714725	16981.887777929	6.96455694064018	167.593888576866
21	10000	17056.1519244353	1929.85807437358	17164.9838525017	6.45540990381224	168.968914573395
22	7943.3	17280.5360370046	1793.28466046633	17373.3357648921	5.92465246516644	170.383937569822
23	6309.6	17496.5911095995	1681.52763471022	17577.2078454688	5.48960908515886	171.788966566275
24	5011.9	17694.2885045447	1594.04259536538	17765.9454428381	5.14776453348912	173.16898956279
25	3981.1	17874.3289554746	1525.40908775153	17939.3006690203	4.87784728074223	174.554016559293
26	3162.3	18052.7092062812	1467.43428307069	18112.2520151879	4.64713309780509	175.909040555872
27	2511.9	18245.4866204387	1429.01855358802	18301.3626826831	4.47836379666722	177.364069552199
28	1995.3	18416.3583853517	1401.11004171554	18469.5794626382	4.35066154708996	178.669091548904
29	1584.9	18604.6582963127	1381.11843361839	18655.851587377	4.24556972777736	180.004119545533
30	1258.9	18789.9320510899	1373.36969203108	18840.0554881233	4.18035626902028	181.414145541973
31	1000	18982.0230877871	1367.73267553348	19031.2346729529	4.12127366525989	182.854168538338
32	794.33	19169.3638285349	1368.09278536951	19218.1213301437	4.08220442020075	184.214196534904
33	630.96	19357.0184833902	1374.24550754228	19405.739235631	4.06088257893424	185.59422253142
34	501.19	19547.800930763	1382.38910524448	19596.6201388668	4.04513117327567	186.974247527935
35	398.11	19758.489737794	1394.79577258081	19807.65942674	4.03793813669127	188.329272524514
36	316.23	19961.3268918255	1409.65453977265	20011.0393833958	4.03948054830282	189.719298521005
37	251.19	20159.9411804249	1423.7993147136	20210.1566764528	4.03981644395745	191.149323517394
38	199.53	20367.3310687621	1441.59101338817	20418.2849307782	4.048619011657	192.604351513721
39	158.49	20578.2136747575	1459.53088992785	20629.9081060152	4.05696811008708	194.134380509858
40	125.89	20798.5274446612	1481.19266718223	20851.2032166884	4.07351195876096	195.719407505856
41	100	21013.6257921596	1499.75391701391	21067.0769387809	4.0823089511345	197.069432502448
42	79.433	21235.4380638086	1518.56528494409	21289.6658096478	4.09030987984918	198.594462498597
43	63.096	21463.9579215886	1558.19424051868	21520.4428149355	4.15215179586951	200.184492494583
44	50.119	21633.5370854797	1667.43357060312	21697.7017571263	4.40743416379782	218.53983244824
45	39.811	21929.3613612438	1587.71783182906	21986.762781854	4.14107251739712	227.654998425226
46	31.623	22152.3263976782	1641.14524480594	22213.0349692207	4.23699203805524	229.445032420707
47	25.119	22399.4955159242	1625.15529299947	22458.3732512903	4.1497215587119	231.130064416453
48	19.953	22640.0329361157	1679.60579198792	22702.2502621411	4.242853951079	233.140099411378
49	15.849	22892.578733771	1717.86379770293	22956.9426777471	4.29144400501785	235.215138406139
50	12.589	23141.953552381	1728.60518262718	23206.4234663156	4.2718172318163	237.265176400963
51	10	23370.72432885	1741.8537050649	23435.5458648812	4.26245597381303	239.585222395105
52	7.9433	23580.3813911717	1775.51011986362	23647.1313849874	4.30602180498207	242.03526438892
53	6.3096	23845.5188262621	1792.97284565941	23912.8316959512	4.30004606217135	244.400311382949
54	5.0119	24123.8547391389	1885.24846853218	24197.4074905387	4.46851010427633	246.955358376498
55	3.9811	24350.5612001722	1917.11664803268	24425.911794762	4.50160399905478	249.495403370085
56	3.1623	24632.2014235138	1953.58964518375	24709.5499649493	4.53465897050732	252.010451363735
57	2.5119	24819.0528041341	1941.96449978457	24894.9112915235	4.47398753389937	254.665499357031
58	1.9953	24952.7420793585	3281.33934679222	25167.5689169176	7.49153257485072	257.475554349937
59	1.5849	25031.9479828088	2098.42848880856	25119.749639212	4.79190183399684	260.285603342842
60	1.2589	25310.7639971333	2586.89000382733	25442.6172790946	5.83565951559014	263.30065833523
61	1	25745.3752943927	2755.81295560616	25892.4478196909	6.10973867981099	270.175789317872
62	0.79433	25987.0048064475	3060.33421374475	26166.5829696991	6.71644674378558	273.410847309704
63	0.63096	26248.4567855208	3421.24495735785	26470.481685825	7.42611339809461	277.040914300539
64	0.50119	26457.925867849	3900.15109075169	26743.8407817442	8.3855551992236	280.955986290654
65	0.39811	26746.076447329	4546.53903672794	27129.7552981751	9.64743327948484	285.376069279495
