Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	38247.82041	27741.21132	47249.0272	35.95344289	53.04480887
2	794328.25	37606.54227	33410.06252	50303.91932	41.61823729	63.38999884
3	630957.375	39042.3246	39945.84877	55856.72694	45.65536221	68.79509983
4	501187.2188	41578.08693	47216.88638	62914.00219	48.63360843	71.50514882
5	398107.1563	45408.3482	56520.1174	72501.32245	51.22155175	80.0953078
6	316227.7813	52044.57622	67231.10478	85021.52294	52.25602486	82.28034879
7	251188.6406	60699.44477	80188.00127	100571.0602	52.87558318	88.96047178
8	199526.2344	70672.97265	96400.45011	119531.2338	53.75416007	91.12551277
9	158489.3125	85760.49632	114764.6687	143268.2516	53.23024394	93.50555676
10	125892.5391	104862.0132	135825.0938	171593.9915	52.33052712	95.14058776
11	100000	125329.3956	156932.0654	200836.0789	51.38836751	96.87061776
12	79432.82031	190418.9348	157512.3999	247122.4936	39.59716975	102.2307187
13	63095.73438	230004.4067	166101.6748	283710.7567	35.83558701	106.8458037
14	50118.72266	272970.0385	171315.0415	322275.4805	32.11223809	114.0909387
15	39810.71875	320684.453	174439.6289	365058.4919	28.54443792	116.8159867
16	31622.77734	364100.5269	173787.2146	403449.1166	25.51540369	125.3511447
17	25118.86523	405602.8305	167554.9808	438848.8666	22.44557427	128.9412137
18	19952.62305	442970.0566	159401.6193	470777.3861	19.79113533	131.5612597
19	15848.93164	474969.8733	149451.9013	497927.958	17.46647091	139.6914116
20	12589.25391	502916.1553	135599.959	520876.1927	15.08967366	150.1966036
21	10000	526613.3382	120157.084	540147.5102	12.85311237	158.5167636
22	7943.282227	552618.996	50176.81688	554892.3028	5.188128038	164.8318776
23	6309.573242	566056.3307	42865.33651	567677.0267	4.330530726	171.4169996
24	5011.872559	576115.7814	37970.64856	577365.7106	3.770797557	183.3172205
25	3981.071777	586032.4964	32751.42252	586946.9674	3.198744592	185.4222575
26	3162.277588	592017.2705	27826.96677	592670.8941	2.691129496	187.3272915
27	2511.886475	596022.2517	27080.83035	596637.156	2.601498297	189.1523255
28	1995.262329	603915.5066	25160.18476	604439.3882	2.385663563	191.0023615
29	1584.893188	605117.7872	20959.28075	605480.6585	1.983743443	192.7323945
30	1258.925415	603209.9462	20073.54727	603543.8563	1.905978623	194.4824275
31	1000	613913.1416	17357.88012	614158.4823	1.619558716	196.5674655
32	794.3282471	614439.4846	19222.66317	614740.1004	1.791906912	198.7475035
33	630.9573364	615417.0193	15763.07898	615618.8613	1.4672335	200.7725415
34	501.1872253	618272.6997	15668.35546	618471.2027	1.451687148	202.5675735
35	398.1071777	620261.3537	14972.01857	620442.0265	1.382750869	204.3676095
36	316.2277832	621492.5585	14555.85923	621662.9902	1.341668294	206.3876465
37	251.1886444	623872.0509	14300.35669	624035.9254	1.313100384	208.4176835
38	199.5262299	625661.8136	13201.53299	625801.075	1.208767876	210.4727225
39	158.4893188	627451.2922	13006.21297	627586.0783	1.18749362	212.5127585
40	125.89254	629455.96	12934.21823	629588.8337	1.177162324	214.5827975
41	100	630910.5999	12543.10862	631035.2721	1.13894508	216.6578365
42	79.43282318	632649.6634	12401.34696	632771.1987	1.122981478	218.6628714
43	63.09573364	634056.2403	11845.41376	634166.8784	1.070272998	220.8729124
44	50.11872482	635597.8005	11274.25075	635697.7841	1.016207496	222.9679544
45	39.81071854	637041.9498	10783.84057	637133.2176	0.969809827	232.8781354
46	31.62277603	638495.4153	10233.68743	638577.4219	0.918247623	235.1181824
47	25.11886406	639962.5876	9823.843785	640037.9844	0.87945857	237.4032214
48	19.95262337	641444.9666	9361.052601	641513.2691	0.836097814	240.1782734
49	15.84893227	642471.0593	8920.388559	642532.9839	0.795472059	242.8183204
50	12.58925438	643741.6862	8359.876222	643795.9662	0.744023125	245.6133744
51	10	644817.3705	8029.035806	644867.3559	0.713389734	248.4134234
52	7.943282604	645955.7199	8648.875796	646013.6184	0.767102846	251.4484814
53	6.30957365	647140.0699	8028.186228	647189.8654	0.710754309	254.6135404
54	5.011872292	648305.2074	7291.444501	648346.2093	0.64437456	257.6735973
55	3.981071711	649385.6642	6646.573136	649419.6778	0.586411608	260.8586533
56	3.162277699	650345.3413	6094.277728	650373.8949	0.536893479	264.0187123
57	2.511886358	650960.1696	5234.88936	650981.2182	0.46075108	267.2837753
58	1.995262384	651646.5963	4724.874209	651663.7253	0.415425491	270.8038373
59	1.584893227	652633.0607	4135.379908	652646.1624	0.36304726	274.1038983
60	1.258925438	653050.6245	3530.993003	653060.1703	0.309790723	277.4939643
61	1	653421.7165	2887.307403	653428.0957	0.253174095	283.8790813
62	0.794328272	655771.9882	4193.005014	655785.3931	0.366344128	287.8241543
63	0.630957365	654330.5045	3886.896722	654342.049	0.340348122	291.9092283
64	0.501187265	654351.4397	2823.141735	654357.5298	0.247196068	296.4843153
65	0.398107171	654045.2079	1678.647839	654047.3621	0.147052871	301.4444072
66	0.316227764	653939.2793	628.7497103	653939.5815	0.055088744	306.6845052
67	0.251188636	653771.8229	-306.2174442	653771.8946	-0.026836528	312.7996142
68	0.199526235	653643.3944	-1294.920866	653644.6771	-0.113507463	319.4997392
69	0.158489317	653270.4967	-2353.938415	653274.7377	-0.206453764	327.2948832
70	0.12589255	652893.949	-3362.76533	652902.609	-0.295102378	336.4600552
71	0.100000001	651952.3508	-4424.133452	651967.3616	-0.388801856	347.1502511
