Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	1863.266416	4202.092501	4596.666523	66.08683402	53.04480887
2	794328.25	2351.652701	4949.696872	5479.942477	64.58711884	63.38999884
3	630957.375	2949.526882	5810.606371	6516.352908	63.0871559	68.79509983
4	501187.2188	3675.214608	6820.815378	7747.949718	61.68317584	71.50514882
5	398107.1563	4531.374078	7954.770178	9154.874091	60.33232836	80.0953078
6	316227.7813	5546.015316	9241.182412	10777.64994	59.03029057	82.28034879
7	251188.6406	6802.493409	10699.48077	12678.83296	57.55270104	88.96047178
8	199526.2344	8259.112296	12367.26474	14871.52222	56.26419054	91.12551277
9	158489.3125	10000.75049	14222.85158	17386.9065	54.88715863	93.50555676
10	125892.5391	12173.57605	16240.37141	20296.44346	53.14523901	95.14058776
11	100000	14692.04087	18373.72671	23525.5159	51.35339108	96.87061776
12	79432.82031	17599.10853	20614.24123	27104.89923	49.51143937	102.2307187
13	63095.73438	21233.83537	22653.30386	31049.12141	46.85250653	106.8458037
14	50118.72266	25378.09078	24575.50197	35327.08294	44.07952575	114.0909387
15	39810.71875	30135.09992	26172.16664	39913.73891	40.97413319	116.8159867
16	31622.77734	35118.42296	27356.57006	44516.12693	37.91789886	125.3511447
17	25118.86523	40401.13148	28013.85623	49163.27456	34.73716296	128.9412137
18	19952.62305	45819.18468	28071.48463	53734.58788	31.49404703	131.5612597
19	15848.93164	51055.74566	27488.36874	57985.33936	28.2979834	139.6914116
20	12589.25391	56039.18528	26313.78598	61909.65691	25.15289411	150.1966036
21	10000	60621.40177	24826.18891	65507.96905	22.27049578	158.5167636
22	7943.282227	64664.90734	22967.89665	68622.69681	19.55418984	164.8318776
23	6309.573242	68286.83872	20925.72729	71421.13416	17.03708931	171.4169996
24	5011.872559	71222.84106	18885.27287	73684.10018	14.85066047	183.3172205
25	3981.071777	73798.2009	16845.08659	75696.31033	12.85797586	185.4222575
26	3162.277588	75849.01311	14841.90128	77287.48168	11.07156815	187.3272915
27	2511.886475	77682.86663	13052.99597	78771.87615	9.538267196	189.1523255
28	1995.262329	79122.38632	11478.15898	79950.6107	8.254226226	191.0023615
29	1584.893188	80317.10589	10017.21186	80939.37257	7.10926364	192.7323945
30	1258.925415	81377.48363	8826.669027	81854.77951	6.190428433	194.4824275
31	1000	82173.76607	7850.384195	82547.90344	5.457130238	196.5674655
32	794.3282471	83035.69194	6723.469349	83307.44971	4.629188017	198.7475035
33	630.9573364	83690.94491	5945.430297	83901.86173	4.063483097	200.7725415
34	501.1872253	84305.67847	5253.865626	84469.22828	3.566017648	202.5675735
35	398.1071777	84821.8082	4702.018901	84952.03428	3.172891451	204.3676095
36	316.2277832	85290.72796	4237.539478	85395.93091	2.844314438	206.3876465
37	251.1886444	85724.13297	3861.529985	85811.06215	2.579202565	208.4176835
38	199.5262299	86118.69236	3560.357104	86192.25787	2.367399311	210.4727225
39	158.4893188	86501.427	3293.358601	86564.09812	2.180362335	212.5127585
40	125.89254	86852.08817	3097.118268	86907.29176	2.042284184	214.5827975
41	100	87207.27609	2936.766537	87256.71092	1.928746911	216.6578365
42	79.43282318	87544.18317	2884.578265	87591.69366	1.887211468	218.6628714
43	63.09573364	87878.83642	2776.33412	87922.6815	1.809529374	220.8729124
44	50.11872482	88186.94387	2697.436557	88228.18843	1.752000359	222.9679544
45	39.81071854	88528.47873	2651.895482	88568.18897	1.715798108	232.8781354
46	31.62277603	88862.35151	2626.483512	88901.15821	1.692984924	235.1181824
47	25.11886406	89205.23806	2627.675096	89243.93074	1.687245885	237.4032214
48	19.95262337	89548.16853	2638.192836	89587.02221	1.687511955	240.1782734
49	15.84893227	89916.44451	2662.779103	89955.86355	1.696257334	242.8183204
50	12.58925438	90281.45478	2703.37802	90321.92054	1.715146064	245.6133744
51	10	90682.02916	2754.491359	90723.85373	1.739839963	248.4134234
52	7.943282604	91062.51122	2904.599541	91108.8231	1.82693062	251.4484814
53	6.30957365	91449.60539	2936.748367	91496.74758	1.8393243	254.6135404
54	5.011872292	91894.8464	2986.513545	91943.36332	1.861414678	257.6735973
55	3.981071711	92355.49096	3030.702199	92405.20475	1.87952175	260.8586533
56	3.162277699	92799.49521	3075.754097	92850.45274	1.898321108	264.0187123
57	2.511886358	93265.32559	3126.071022	93317.70078	1.919723601	267.2837753
58	1.995262384	93728.17695	3173.54095	93781.888	1.939236107	270.8038373
59	1.584893227	94220.99003	3205.866881	94275.51402	1.948735712	274.1038983
60	1.258925438	94714.88907	3230.372712	94769.96106	1.953388827	277.4939643
61	1	95201.05542	3247.662964	95256.43426	1.95381499	283.8790813
62	0.794328272	95717.44974	3227.760376	95771.85715	1.931382358	287.8241543
63	0.630957365	96202.58107	3219.82914	96256.44864	1.916931743	291.9092283
64	0.501187265	96692.80491	3199.873198	96745.73742	1.895408296	296.4843153
65	0.398107171	97210.79785	3175.357519	97262.64501	1.870881866	301.4444072
66	0.316227764	97698.09835	3129.996708	97748.22403	1.834982313	306.6845052
67	0.251188636	98143.53185	3075.286182	98191.70143	1.794751847	312.7996142
68	0.199526235	98595.13088	3011.702135	98641.11811	1.749621716	319.4997392
69	0.158489317	99046.36812	2941.405143	99090.03432	1.701027369	327.2948832
70	0.12589255	99488.19067	2850.838162	99529.02773	1.64136375	336.4600552
71	0.100000001	99921.74963	2764.046539	99959.972	1.584518147	347.1502511
