Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	-2722.69048490584	14831.9188146095	15079.7499713942	100.401958187806	69.9670738233501
2	794330	2207.56485429803	22052.3830499719	22162.6023013684	84.2834220099801	71.4570988195882
3	630960	10224.260439745	29222.5045355574	30959.4940667707	70.71627035737	72.7571258163059
4	501190	18279.1466369235	35707.171326125	40113.953755363	62.8912724400384	74.1471488127964
5	398110	26863.7842397853	53890.8484206013	60215.3339870665	63.5044294088227	75.4421738095268
6	316230	34578.2542116483	58448.018616204	67910.4303070265	59.3911458491153	76.7271968062824
7	251190	41466.3375331486	62632.72145594	75115.3442739256	56.4932300293921	78.8772378008541
8	199530	48828.7331675104	68963.0410771846	84499.3858992915	54.6999013238302	80.0772607978244
9	158490	56107.8793788185	76636.1378953975	94979.954516258	53.7908943994299	81.3672847945674
10	125890	63797.3867448668	86194.1670429272	107235.912770387	53.4926735213534	82.5523067915755
11	100000	72288.7870263222	98091.03871495	121850.402567717	53.6114161801209	83.8523307882932
12	79433	81306.8301925053	111531.144589777	138021.726005215	53.9077411169687	85.0423507852887
13	63096	91900.9753815834	128797.339738421	158223.083018189	54.4909418026565	86.3273747820443
14	50119	104717.098320048	149463.096827048	182496.268437747	54.9840778154219	87.6123987788
15	39811	121312.472483956	174157.560467602	212244.132659061	55.1401898658251	88.7974207758081
16	31623	142324.553644415	199408.593466294	244989.929830366	54.4832857491735	89.9874427728035
17	25119	161073.857797267	228528.169750928	279588.826735625	54.8226120494336	91.1824647697864
18	19953	185485.827081412	265609.438121077	323965.068590843	55.0718433274225	92.3774867667693
19	15849	216427.740653583	307563.565436015	376080.195846748	54.8665394820291	93.55750876379
20	12589	255194.907033371	355382.973386598	437517.426337363	54.3184688881586	94.7475307607855
21	10000	294723.488921191	409230.90839227	504313.267032944	54.2389917189022	95.9625527577178
22	7943.3	351085.523068907	467909.141317222	584978.639812419	53.1180616064686	97.1575757547007
23	6309.6	419585.375221065	530205.212816519	676143.072727372	51.6431727025087	98.3475967516962
24	5011.9	501441.347223587	595399.572958558	778424.097895639	49.8961516664233	99.5326187487043
25	3981.1	598522.892279585	661660.304259863	892201.776963022	47.8682217970128	100.717643745712
26	3162.3	709903.707577967	724055.677682214	1014011.78416071	45.5654426778298	101.897664742733
