Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	-2761.59598083954	14645.5043614288	14903.597228925	100.678464770551	69.9210778234662
2	794330	1977.2015300333	21777.5363573628	21867.10807781	84.8122890514655	71.2261028201714
3	630960	9459.66187353303	29034.6112428888	30536.7623167104	71.9540595042636	72.5211238169018
4	501190	17511.3022948584	36368.3513406014	40364.6217286294	64.2892601719948	73.9111528133923
5	398110	24731.2878843311	53717.149676369	59136.8647272671	65.2787341980025	75.2061738101227
6	316230	32946.4858793331	59177.6866283653	67730.8609607327	60.8936373401371	76.4911968068783
7	251190	39275.1489847557	64345.4394139964	75384.832036392	58.6009568729339	77.6862228038611
8	199530	46478.2076899847	71300.3225677622	85111.4550947185	56.9010646279566	79.0062458005284
9	158490	53727.4088949225	79902.7763458728	96286.4898848263	56.0827274932035	80.2962697972714
10	125890	61353.7572933287	90307.8543518993	109177.800360937	55.8084192615716	81.4812917942795
11	100000	69360.3305979823	102949.406532582	124134.748423124	56.0305818623977	82.7763137910099
12	79433	78366.6701784356	118371.354590671	141961.658846627	56.4938141847213	83.9563367880306
13	63096	88156.3068103286	137327.447992861	163188.119673795	57.3018755329543	85.2413597847863
14	50119	99792.877367126	160736.667150068	189195.387205191	58.1660459750383	86.5313857815293
15	39811	114620.06725148	189176.77449584	221191.346633144	58.7888019437906	87.7264087785121
16	31623	133806.280981198	218773.171421071	256448.477015662	58.549165563658	88.9164297755076
17	25119	150484.600669101	254147.184501522	295358.098633827	59.369548305194	90.1064517725031
18	19953	170200.035957177	299963.946766837	344886.099458593	60.4293523564866	91.2964737694986
19	15849	195166.695634239	354292.526691049	404491.326920511	61.151251123703	92.4814947665067
20	12589	225841.981855943	418172.27114357	475260.611793142	61.6278821613373	93.6715167635022
21	10000	256424.61714196	493596.136022913	556229.026366973	62.5479930699917	94.906538760384
22	7943.3	300561.857490764	584789.633144052	657507.676921763	62.7983871828475	96.1015607573669
23	6309.6	355373.678866489	690398.941595922	776492.852631544	62.7634570126097	97.2965847543497
24	5011.9	420923.84601067	815291.184320456	917538.336730987	62.6933030909248	98.4916077513326
25	3981.1	503704.439354381	961713.347384798	1085638.39503003	62.3563701765394	99.6766297483407
26	3162.3	606570.555591741	1130159.0919031	1282648.59253114	61.7769869058983	100.856650745361
27	2511.9	733213.763144893	1323320.88698516	1512871.63777906	61.0104334087201	102.04167274237
