Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	-520.279028757592	13423.5985780584	13433.6774210421	92.21958953757	39.4025219005182
2	794330	4507.40535685747	17650.905674554	18217.3316976727	75.6748691215327	40.702544897236
3	630960	10472.1066293468	21753.1477819074	24142.5859360159	64.2935341624477	41.9875678939916
4	501190	15891.8067583365	25291.2139355286	29869.6338172564	57.8566819455394	43.3775938904821
5	398110	20562.0574091741	33918.7524362331	39664.5934269928	58.7751268367883	44.6976208871494
6	316230	24520.2170152795	37503.2845976666	44807.7827848018	56.8227312845162	45.9926428838797
7	251190	27967.8592047355	41016.1956466392	49644.0273730818	55.7109572007105	48.1426838784514
8	199530	32021.2294967518	46394.6697641857	56372.1963472375	55.3868728615297	49.3427078754216
9	158490	36409.2715687868	52944.2156711114	64255.1556623967	55.4840385040744	50.637728872152
10	125890	41172.6453935432	60956.9672319856	73559.0822592549	55.9634174013532	51.8377498691223
11	100000	46745.787869391	70629.744242079	84697.8716098084	56.5017036044153	53.13777786584
12	79433	52956.1641205456	82085.8551281385	97685.428444983	57.172666751537	54.3277968628355
13	63096	60182.3244294285	96252.389113256	113518.432792823	57.98409584313	55.6278238595532
14	50119	69220.1391180917	112351.129017601	131962.888158215	58.3625524296276	56.9228448562836
15	39811	80136.7691460899	132152.281437232	154551.374171306	58.7674960569526	58.1228688532539
16	31623	93616.8619454474	154512.850810847	180660.836669734	58.788998905611	59.3128918502493
17	25119	109779.637478899	181190.750409029	211852.913217604	58.7892155511206	60.5129108472196
18	19953	129498.989275822	211461.913856241	247963.967614659	58.5167538217808	61.7029378442151
19	15849	153777.141352804	246628.951019327	290642.819769445	58.0557931265403	62.8979558411979
20	12589	184361.784842299	286537.466043316	340724.209818972	57.2422648067607	64.0979778381682
21	10000	216636.227367599	330569.058033104	395230.511394249	56.7614377736958	65.3130008351005
22	7943.3	262094.935429967	378982.915932485	460783.903523905	55.3332526624408	66.503024832096
23	6309.6	317203.321778498	430887.469939419	535053.230153886	53.640882253681	67.6980468290789
24	5011.9	383733.894258472	484910.068636191	618376.48424526	51.6436471208926	68.8880678260743
25	3981.1	461490.811253067	538893.775417512	709492.966881811	49.4243433414928	70.0780888230698
26	3162.3	551506.609883974	591036.566654032	808383.426269923	46.9815414066149	71.2681128200653
27	2511.9	653595.377359193	638883.727090328	913979.941818274	44.3478586486266	72.4531368170734
28	1995.3	763881.623517522	681611.476360394	1023772.11304761	41.7425286669113	73.6481578140563
29	1584.9	888149.529923612	713147.420544772	1139029.77613985	38.7630267706677	74.8031778111401
30	1258.9	1024405.69855512	746806.914366617	1267725.36559698	36.0926026329377	75.9681998081987
31	1000	1151529.4528946	747152.765019408	1372682.53254708	32.976923775853	77.168219805169
32	794.33	1281578.17959979	755556.802689025	1487719.29896603	30.5215547608131	78.458243801912
33	630.96	1417457.26545201	733785.897664214	1596128.70502149	27.369591202341	79.6432667989201
34	501.19	1546635.19206227	707142.482139952	1700626.62197572	24.5705189048441	80.8432887958903
35	398.11	1660259.3382104	671420.868913471	1790884.4332696	22.018763720265	82.0133097929363
36	316.23	1773373.82631593	620588.594221216	1878825.41262882	19.2873910890218	83.2033357899318
37	251.19	1863693.04352326	570407.891382756	1949029.73887746	17.0174226828818	84.4333547868263
38	199.53	1949144.03666585	540447.648878768	2022682.90565987	15.4973295279484	85.6233767838218
39	158.49	2022259.44222085	488731.428246704	2080478.7094819	13.5864925854854	86.8484007807289
40	125.89	2051830.75183192	451222.80746046	2100859.69453832	12.4026252441133	88.1084227775476
41	100	2154582.00795743	434713.413297119	2197998.94920683	11.4069880801087	89.3784457743411
42	79.433	2174844.56931598	359835.269055187	2204411.55901961	9.39466856793532	90.6734697710715
43	63.096	1788818.11539806	162556.872212786	1796189.01752568	5.192428936893	92.0184947676756
44	50.119	2266472.04892878	317020.986781433	2288536.18163124	7.96254156885291	101.773676743046
45	39.811	2291460.00700761	297615.073449256	2310706.31964763	7.40015688774824	110.68384272055
46	31.623	2309503.92602301	224723.647392207	2320411.40792166	5.55760471554413	112.183867716763
47	25.119	2406299.29110825	236363.408417411	2417880.05062839	5.60999237486373	113.728897712862
48	19.953	2393621.10081801	263981.708319819	2408133.7829549	6.29346056670795	115.488930708418
49	15.849	2418573.02220982	200823.167726419	2426896.25003971	4.74659431678973	117.308968703823
50	12.589	2444432.28299918	255341.030869701	2457732.33453405	5.9633876876972	119.14399669919
51	10	2489836.32525641	248477.996632626	2502204.2765084	5.69907248488066	121.314039693711
52	7.9433	2513039.97399973	236825.739094313	2524174.38811547	5.38358296093476	123.504079688182
53	6.3096	2583600.25292747	253592.992892791	2596016.11569944	5.60590369027078	125.804120682375
54	5.0119	2587558.05160114	255080.474499612	2600100.52091776	5.63000551043029	128.11916667653
55	3.9811	2622131.09686068	262334.26049914	2635221.19628607	5.71321416274324	130.409207670748
56	3.1623	2659314.99997115	265189.366737216	2672504.75571178	5.69476151739602	132.814251664676
57	2.5119	2689460.22405574	266506.169217641	2702632.3899134	5.65912496816347	135.199295658655
58	1.9953	2725342.37518444	282989.567357347	2739995.28415818	5.9281390420967	137.759342652191
59	1.5849	2762683.26782356	290785.897080082	2777944.43361506	6.0085368919247	140.344393645664
60	1.2589	2803516.70656685	299671.748494108	2819487.37908949	6.10125770872022	143.149443638582
61	1	2846682.47282974	319016.07866874	2864502.11373028	6.39422520375077	146.27949963068
62	0.79433	2890045.29843501	334280.798608515	2909313.57528277	6.59787049684274	149.449559622676
63	0.63096	2933460.89145466	354716.176039398	2954829.32962937	6.89477171931735	152.869621614041
64	0.50119	2978511.01424992	373957.979888884	3001894.8070728	7.15615426493186	156.604690604611
65	0.39811	3025153.20028118	400518.935598224	3051551.62219881	7.54188374861693	160.749767594146
66	0.31623	3070211.93476594	436055.79061009	3101023.37574288	8.0835357607496	165.42985458233
67	0.25119	3127527.54620987	467637.643984817	3162295.60894823	8.50404119091321	170.734955568936
68	0.19953	3183824.97093962	509762.409351855	3224375.77828126	9.09642542437179	176.790063553648
69	0.15849	3244189.7383834	562404.933329796	3292577.46570462	9.83491354737052	183.895197535709
70	0.12589	3318001.06545729	626534.729070872	3376636.91224088	10.6931959603554	192.355352514349
71	0.1	3382854.80385354	682671.671499747	3451050.16408386	11.4092521607529	202.455540488849
