Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	-2970.54522167479	14259.351992912	14565.4817349711	101.767699307064	69.9450758234057
2	794330	917.615602700612	21356.3277905071	21376.0322578795	87.5396901863231	71.2501028201108
3	630960	7823.78667401502	29959.4041819237	30964.1330712869	75.3642831293652	72.5351218168664
4	501190	15183.4161090864	36256.9430009305	39307.7860037218	67.2773977081352	73.9351488133317
5	398110	18497.9210938817	57881.1705914167	60765.1462092223	72.2769295157908	75.2351748100494
6	316230	26184.4677652065	66395.1717501588	71371.8795036269	68.4770590731614	76.545198806742
7	251190	32099.7639608416	74190.1922147189	80836.7457731858	66.6033819517988	78.6902378013262
8	199530	39331.1816526169	85162.7334926409	93806.3591987757	65.2108262149726	79.8902597982965
9	158490	46648.747434401	98354.3503899713	108856.253278495	64.6253573770859	81.1752827950521
10	125890	54587.7068444326	114532.221360681	126875.716621999	64.5168584497628	82.3653047920476
11	100000	62671.3691897021	133437.466372277	147422.040238102	64.8420363981077	83.660328788778
12	79433	72833.7522507979	157306.392836613	173349.521759356	65.1555957553457	84.8453517857861
13	63096	83721.3831866766	186515.930046754	204444.276427333	65.8261245099664	86.1453757825038
14	50119	96530.4852629286	222555.691375748	242588.479423145	66.5518711455419	87.4403987792342
15	39811	114660.372287601	268671.028124443	292114.912879463	66.8887299537497	88.6354217762171
16	31623	143348.714587794	316945.299902531	347855.109354855	65.6636075616877	89.8304417731999
17	25119	164070.198673478	368991.822310777	403824.213024656	66.0279382333725	91.015464770208
18	19953	189775.139733832	439104.728067434	478359.243531648	66.6266505802842	92.2204857671657
19	15849	224061.31459857	526251.045956316	571964.715755925	66.937204897434	93.4105107641611
20	12589	266120.581127509	631543.312189641	685322.638522255	67.1503491409044	94.6005327611566
21	10000	308406.832046894	749321.560803447	810307.087182456	67.6288446260657	95.815553758089
22	7943.3	374214.337345644	895914.587884248	970927.041058617	67.3302063548292	97.0055767550845
23	6309.6	455847.636417462	1066100.97001533	1159468.99307184	66.8492267726402	98.2005997520673
24	5011.9	559801.208626871	1269447.5571086	1387398.4623853	66.2034715619045	99.3856207490754
25	3981.1	696083.017517748	1502248.41892344	1655681.69629147	65.1388430207842	100.570643746084
26	3162.3	855554.445220794	1777602.25912122	1972775.50683547	64.2986325682694	101.760665743079
27	2511.9	1071166.48094565	2088076.05847136	2346797.65976166	62.8425356242886	102.960686740049
28	1995.3	1338612.56736698	2435962.64041941	2779531.90142368	61.2102823506792	104.155709737032
29	1584.9	1677527.60352328	2826305.98345257	3286655.49954393	59.3091449804995	105.310731734116
30	1258.9	2184383.67479259	3256263.23725136	3921069.02629565	56.145292371354	106.480750731162
31	1000	2556191.57081413	3660558.65037365	4464728.99284229	55.0731561557442	107.675774728145
32	794.33	3144560.36521981	4074223.68723401	5146606.50760577	52.3383833251751	108.995798724812
33	630.96	3877988.4986653	4469255.30063297	5917181.57047899	49.0517091046742	110.165819721858
34	501.19	4615301.40709461	4845703.99359555	6691924.55664866	46.3950406405133	111.360842718841
35	398.11	5666263.72717443	5138827.27603598	7649450.33311702	42.2053993395609	112.540863715862
36	316.23	6222162.7606914	5255846.80664589	8144890.12052739	40.187704489458	113.735887712844
37	251.19	7616849.90087077	5573408.32336986	9438182.17409494	36.1937144590262	114.955907709764
38	199.53	8200758.61085106	5396998.14267843	9817333.17889957	33.349299286214	116.155929706734
39	158.49	9334545.19412668	5590148.54214236	10880417.9471383	30.915988781274	117.380952703642
40	125.89	11231185.0682253	4450282.65730647	12080750.5464954	21.6156187270636	118.650975700435
41	100	11103127.6843903	6489663.70093051	12860605.7138476	30.30584575116	119.916002697241
42	79.433	11988501.9718448	4333451.06391816	12747665.5765791	19.8732646027935	121.211023693972
43	63.096	3874302.45906078	1418044.12625033	4125659.7882372	20.103270383442	122.546052690601
44	50.119	13321374.7592935	4486776.91054541	14056677.8622314	18.6140580109593	123.78607368747
45	39.811	13348566.0844174	4347053.28488558	14038557.2183074	18.0381994114691	132.78123766476
46	31.623	14363057.0903362	1017943.95405308	14399083.9595389	4.0539095306491	134.271265660998
47	25.119	16588676.9351475	6214838.15367135	17714638.4590548	20.5381298890427	135.711293657362
48	19.953	15498417.043426	4206359.77842182	16059090.6790354	15.1846203603198	137.471326652918
49	15.849	18838829.0008966	4626966.9565843	19398719.0644729	13.7991588342435	139.286358648336
50	12.589	18193433.7976291	7609873.00549918	19720831.6383599	22.6983778609222	141.131392643677
51	10	17169782.2417654	3945429.72257081	17617259.6599297	12.9412903125826	143.341432638098
52	7.9433	17220888.2796687	2372453.46957408	17383541.8889859	7.84403572966238	145.531475632568
53	6.3096	17807493.8489812	5264958.64151931	18569507.9815921	16.4708260318945	147.726516627026
54	5.0119	18683545.849798	4349056.46656371	19183044.0147247	13.1036629560904	150.046559621169
55	3.9811	18893683.4093439	4021836.37993679	19316998.7482399	12.01700140398	152.336601615387
56	3.1623	19874891.6445244	4049066.66584312	20283152.0909849	11.5151532334781	154.756644609277
57	2.5119	19913220.5600475	4370641.85228698	20387223.039788	12.3792391942574	157.156690603217
58	1.9953	21019350.3796546	4915533.66398975	21586467.093633	13.1625032698566	159.716739596754
59	1.5849	22079143.275197	5251270.80163327	22695030.5749687	13.3785772911601	162.39178759
60	1.2589	23475998.5225519	5490534.10071627	24109509.9772266	13.1636481085505	165.096838583171
61	1	23362800.3763243	5240032.54028486	23943232.4978735	12.6416345491811	169.941927570938
62	0.79433	24039522.4357489	5514480.0524528	24663903.3647915	12.9196879254302	173.001982563212
63	0.63096	25130380.4859508	5454974.65732984	25715613.3872161	12.2470261897991	176.357046554741
64	0.50119	25120133.0151729	5254287.83306866	25663760.8961102	11.8140271208928	180.032114545463
65	0.39811	26633014.9346988	5467238.59430591	27188383.2244391	11.6005486175168	184.102188535187
66	0.31623	27048107.7960983	5780665.22158314	27658926.691999	12.0636492527297	188.692275523598
67	0.25119	27994176.6204434	6199723.04123034	28672469.207317	12.4874429140045	194.027373510128
68	0.19953	28392236.185956	7308263.52248005	29317738.5102113	14.4347846069418	200.162487494638
69	0.15849	29833510.7698978	6776279.36875245	30593403.3239355	12.7968442344308	207.352617476485
70	0.12589	30844962.0881774	6579862.39293212	31538964.3985186	12.0418712446609	215.80277745515
71	0.1	31783674.917314	6180005.42148924	32378919.9674593	11.003274064439	225.917965429612
