Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2823.82391651815	2628.85924131208	3858.09310698068	42.9522198683458	16.2524309589666
2	794330	3313.4284913622	2545.38702569873	4178.25363973589	37.5315921648354	18.02946195448
3	630960	3925.14732458082	2370.05175219282	4585.18558269305	31.1240906243283	20.691510947759
4	501190	4432.48026457287	2207.94859857769	4951.96105697421	26.4792436396825	23.7385689400659
5	398110	4932.29709030908	1962.12804931923	5308.24839933068	21.6932671444337	25.6456009352511
6	316230	5256.52876899556	1748.60751797907	5539.74033247146	18.3999326068006	28.2126489287699
7	251190	5411.62164895937	1487.93729870082	5612.45100436082	15.3737052388201	30.7746959223014
8	199530	5641.54109836023	1324.67404093385	5794.9760378462	13.2140781194216	32.7017319174361
9	158490	5828.70800268474	1169.62760372383	5944.90249810321	11.346657694245	34.7487699122678
10	125890	5978.78516472228	1025.32274928669	6066.06617060084	9.73119202724448	36.8608109069354
11	100000	6099.40416945471	893.788275788415	6164.54286255667	8.33661750509351	38.812846902007
12	79433	6197.33709549034	776.291468800724	6245.76780865839	7.13980215051724	40.6548788973563
13	63096	6282.78242548039	672.049378024242	6318.6236928961	6.1055327592718	42.4519128928192
14	50119	6351.09279610201	580.068916092372	6377.52770688732	5.21855788093607	44.4439558877898
15	39811	6406.72244909408	498.407786859423	6426.07989848618	4.44833735420274	46.3059848830886
16	31623	6447.60815872471	428.988082296683	6461.86364319196	3.80653300465204	48.1780208783622
17	25119	6485.42422887304	375.046543614427	6496.25948822325	3.30967985273677	49.8700528740902
18	19953	6517.25236412022	328.714639315977	6525.53688915565	2.88741541329875	51.9220888689093
19	15849	6547.79978992728	290.101254602325	6554.22312916592	2.53683910462615	53.7541238642839
20	12589	6573.17501814721	258.767191939805	6578.2665101696	2.25440763894847	56.0211668585602
21	10000	6599.2121029953	233.710856432582	6603.34923692016	2.02828025980524	58.7682168516245
22	7943.3	6617.80664100675	214.637896474486	6621.28644330964	1.85764511447806	61.330263845156
23	6309.6	6640.09820676861	199.409057883778	6643.09176271846	1.72013488796431	63.767309839003
24	5011.9	6664.02705242021	188.404192253719	6666.68978542178	1.61942475347201	65.9143498335823
25	3981.1	6683.18533879423	180.966432551072	6685.63498273607	1.55106873146279	68.0263888282499
26	3162.3	6701.49896588304	175.880916763426	6703.80656691502	1.5033832728178	70.0734268230816
27	2511.9	6722.52928654373	174.051195459762	6724.78206539655	1.48309826911983	71.970466818292
28	1995.3	6744.40128706358	173.708640552082	6746.63793401923	1.47538256242905	74.2925048124295
29	1584.9	6764.08192251603	176.37089198202	6766.38093415134	1.49362746291046	76.0895358078924
