Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	3391.16402077567	2575.34226647137	4258.21338183954	37.2140258515113	22.0255349443909
2	794330	3757.49944851318	2352.40905342284	4433.12874392371	32.048914886493	23.7475669400432
3	630960	4246.63598246435	2139.11489928355	4754.96895046622	26.7353033525085	25.7846059349001
4	501190	4655.41675017079	2001.77171066676	5067.54330019947	23.2671076496211	27.7016399300601
5	398110	5121.10149405488	1786.03546885561	5423.6153263687	19.2267295457696	29.7736769248287
6	316230	5427.98179764193	1619.0531575289	5664.30220966682	16.6087388805231	31.575711920279
7	251190	5578.82282485404	1389.3324888762	5749.21810994847	13.9842936721027	33.532745915338
8	199530	5809.84016861383	1244.40399511799	5941.6146027746	12.0894602420938	35.4747819104348
9	158490	5990.22885939815	1098.04453555633	6090.03641943393	10.387339357609	37.2918159058472
10	125890	6140.56914247342	959.938710770815	6215.14856796948	8.88498357020197	39.073851901348
11	100000	6258.49893036758	832.925516853382	6313.68147581407	7.5807816156817	40.8658808968236
12	79433	6352.54068075204	718.208680204297	6393.01156020622	6.45038416559259	43.307926890658
13	63096	6426.05177830644	616.927431950738	6455.59764187396	5.48382422276473	45.1099598861083
14	50119	6480.66449377488	527.96013603507	6502.13458689656	4.65742846323525	46.9869968813692
15	39811	6530.75962447557	450.673965876584	6546.29118632827	3.947602720176	48.6390268771983
16	31623	6569.57657687957	384.715998306028	6580.83146713523	3.35142722824826	50.6760658720552
17	25119	6595.90195905738	332.978695706709	6604.30143658597	2.88999014814823	52.4080968676823
18	19953	6622.6253653325	288.966642543149	6628.92664388798	2.49841610848213	54.2701318629811
19	15849	6646.02492711518	252.93173007416	6650.83617238574	2.1794877788548	55.8871598588985
20	12589	6667.98932311462	222.723244268238	6671.70797147987	1.91307434152953	57.9291988537428
21	10000	6683.98866561304	197.944512354725	6686.91905977745	1.69630318961083	59.6162308494835
22	7943.3	6700.17515643349	178.591808911299	6702.55489802946	1.5268458456183	61.5082648447066
23	6309.6	6712.37609165568	162.821138972816	6714.35056570084	1.38954297130235	63.1802948404851
24	5011.9	6731.20488391982	150.418057921192	6732.88532365247	1.28014016950905	65.0123288358596
25	3981.1	6742.00172998527	140.491059285263	6743.46536024791	1.19376711319298	66.6143598318149
26	3162.3	6758.2539147601	132.674341169797	6759.55608432795	1.12465491430786	68.4763948271137
27	2511.9	6770.67110546991	127.433312157902	6771.87023410022	1.07825780746301	70.3284278224378
28	1995.3	6782.62947090139	124.207917962581	6783.76666361872	1.04912027826015	72.1204618179133
29	1584.9	6797.54431498055	123.129440631984	6798.65939529807	1.03773149881668	73.7124908138939
30	1258.9	6810.24197742909	123.967489991162	6811.37018005276	1.04284541438775	75.459523809483
31	1000	6822.84002308418	126.807179661491	6824.018320712	1.06475892514729	77.111552805312
32	794.33	6835.18144962255	131.894117994497	6836.45386934087	1.10546276253952	78.988586800573
33	630.96	6847.19806869229	139.448560894278	6848.61791115834	1.1667122172995	80.6756177963136
34	501.19	6866.49912497047	149.846047767533	6868.13395845274	1.25015432740025	82.2576507923194
35	398.11	6878.08983290352	162.758741717974	6880.01527305691	1.35555789349122	84.1246827876056
36	316.23	6899.14043029518	177.850369417763	6901.43241876899	1.47667949731814	85.6867127836618
37	251.19	6920.4616107017	196.819890801382	6923.25985173249	1.62906908868835	87.6337467787461
38	199.53	6942.33218118787	217.558864147059	6945.74027540087	1.7949481842357	89.1957757748023
39	158.49	6967.51841740474	242.517507904455	6971.73777752107	1.99348196346921	91.3978187692427
40	125.89	6998.09271682723	267.859700094831	7003.21715301226	2.19198896738675	93.3048537644279
41	100	7029.2913926826	299.59167208377	7035.6728642841	2.4404957920946	95.196887759651
42	79.433	7072.54585451429	329.953624903827	7080.23829110253	2.67106824210968	96.9139187553159
43	63.096	7123.09484162135	364.389250548685	7132.40910553006	2.92847182847139	98.9609577501476
44	50.119	7160.89885578759	401.154369763162	7172.12641070973	3.20636477042325	101.227998744424
45	39.811	7223.03572983427	435.5502261034	7236.15568889457	3.45076639099183	103.080034739748
46	31.623	7272.87181721567	477.775335272045	7288.54812295592	3.75851987586544	105.52707873357
47	25.119	7334.93156686444	515.670476460986	7353.0359125247	4.02147017283035	107.544116728477
48	19.953	7402.95236980629	566.675916723618	7424.60944321081	4.37730019538533	110.076164722084
49	15.849	7474.81171867733	622.491533215316	7500.68703110593	4.76052486409991	112.538208715868
50	12.589	7548.94145240056	682.380135511852	7579.72029174643	5.16516536751385	114.960254709753
51	10	7624.85876633312	751.226763625389	7661.77609023614	5.62681381913988	117.782305702628
52	7.9433	7709.78417185631	831.405402413615	7754.48302079311	6.15486046501286	120.829362694935
53	6.3096	7797.21186563073	923.792986435957	7851.74543393511	6.75675491472296	123.661416687785
54	5.0119	7891.25634629803	1033.74544355077	7958.67805386365	7.46318325418763	126.233463681291
55	3.9811	7989.71086723041	1163.97155353182	8074.05161733382	8.28875637523611	129.320518673497
56	3.1623	8089.24238045122	1318.98295598125	8196.06968783557	9.26080621015977	132.567581665299
57	2.5119	8200.16646618645	1505.51001846897	8337.2231881412	10.4033650957878	135.754640657252
