Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	2191.644426	5950.986912	6341.730877	69.78212987	53.04480887
2	794328.25	3163.947579	6879.535376	7572.223667	65.30196025	63.38999884
3	630957.375	4274.210472	7842.107222	8931.266475	61.40813991	68.79509983
4	501187.2188	5608.045819	8828.370483	10458.98194	57.57506223	71.50514882
5	398107.1563	7030.081593	9833.621395	12088.09981	54.4389246	80.0953078
6	316227.7813	8779.195365	10910.66638	14004.17481	51.17833593	82.28034879
7	251188.6406	10612.90574	11911.78421	15953.81996	48.30028652	88.96047178
8	199526.2344	12728.78638	12934.56333	18147.31196	45.45940603	91.12551277
9	158489.3125	14962.95634	13903.29506	20425.27052	42.89765328	93.50555676
10	125892.5391	17459.08707	14788.07219	22880.27099	40.26503006	95.14058776
11	100000	20237.88127	15475.7999	25476.89582	37.40495118	96.87061776
12	79432.82031	22786.83103	15913.78988	27793.67512	34.92954759	102.2307187
13	63095.73438	25647.56431	16032.94324	30246.53408	32.01054853	106.8458037
14	50118.72266	28469.60748	15973.22608	32644.48654	29.29514411	114.0909387
15	39810.71875	31309.85055	15717.81338	35033.64667	26.65704337	116.8159867
16	31622.77734	33872.17443	15412.27441	37213.73943	24.46614478	125.3511447
17	25118.86523	36339.83519	14999.29314	39313.64161	22.4284227	128.9412137
18	19952.62305	38685.61909	14523.65649	41322.07306	20.57753092	131.5612597
19	15848.93164	40858.67535	14036.37445	43202.44391	18.959377	139.6914116
20	12589.25391	42941.40525	13542.5281	45026.26292	17.50382895	150.1966036
21	10000	44905.2279	13052.14592	46763.63979	16.20702556	158.5167636
22	7943.282227	46806.25044	12578.85857	48467.02759	15.042434	164.8318776
23	6309.573242	48588.31882	12087.91375	50069.37572	13.97055971	171.4169996
24	5011.872559	50301.2904	11638.65947	51630.20637	13.02778005	183.3172205
25	3981.071777	51844.76498	11193.93985	53039.45649	12.18385064	185.4222575
26	3162.277588	53394.3093	10838.99332	54483.35564	11.47505996	187.3272915
27	2511.886475	54886.3871	10453.46938	55872.98553	10.78320938	189.1523255
28	1995.262329	56289.2368	10185.55616	57203.35422	10.25670624	191.0023615
29	1584.893188	57669.34792	9948.017278	58521.07942	9.7872565	192.7323945
30	1258.925415	58987.88212	9690.538931	59778.56457	9.329229976	194.4824275
31	1000	60286.56394	9491.000944	61029.08234	8.946725846	196.5674655
32	794.3282471	61615.29731	9440.130418	62334.26766	8.710598762	198.7475035
33	630.9573364	62939.23994	9404.174519	63637.93226	8.498078484	200.7725415
34	501.1872253	64124.67656	9307.907661	64796.69196	8.258988957	202.5675735
35	398.1071777	65375.111	9327.120014	66037.1131	8.119639494	204.3676095
36	316.2277832	66628.69105	9371.18128	67284.48194	8.006011945	206.3876465
37	251.1886444	67897.52653	9487.2284	68557.14122	7.954360391	208.4176835
38	199.5262299	69179.97161	9646.557785	69849.29885	7.938222438	210.4727225
39	158.4893188	70469.56826	9866.60902	71156.9394	7.970303728	212.5127585
40	125.89254	71820.20917	10172.76	72537.07666	8.06186218	214.5827975
41	100	73229.55916	10497.65699	73978.16662	8.157927391	216.6578365
42	79.43282318	74691.36796	10921.58781	75485.63789	8.318999001	218.6628714
43	63.09573364	76231.13561	11361.10666	77073.08727	8.476683736	220.8729124
44	50.11872482	77830.23802	11835.36119	78724.97523	8.646518969	222.9679544
45	39.81071854	79538.14548	12356.50065	80492.23376	8.830490655	232.8781354
46	31.62277603	81307.36231	12904.73412	82325.08323	9.018500066	235.1181824
47	25.11886406	83194.44873	13481.64334	84279.71883	9.204753217	237.4032214
48	19.95262337	85158.42035	14072.70104	86313.36786	9.38350704	240.1782734
49	15.84893227	87227.06381	14697.17022	88456.58524	9.564118143	242.8183204
50	12.58925438	89387.07717	15345.19413	90694.67762	9.741087285	245.6133744
51	10	91659.40138	16004.81713	93046.22525	9.904665259	248.4134234
52	7.943282604	93984.06133	16753.79453	95465.66616	10.10749425	251.4484814
53	6.30957365	96416.9311	17437.39274	97981.05566	10.25136458	254.6135404
54	5.011872292	98986.37428	18147.29737	100636.1103	10.38874325	257.6735973
55	3.981071711	101673.0056	18895.57067	103413.9384	10.52810604	260.8586533
56	3.162277699	104396.4361	19648.87418	106229.441	10.65917175	264.0187123
57	2.511886358	107248.0125	20504.39412	109190.5049	10.82357694	267.2837753
58	1.995262384	110089.2455	21354.48533	112141.2324	10.97758314	270.8038373
59	1.584893227	113148.4755	22307.47119	115326.4964	11.15295579	274.1038983
60	1.258925438	116228.5012	23312.19059	118543.3369	11.34144531	277.4939643
61	1	119461.8486	24429.61106	121934.1591	11.55747587	283.8790813
62	0.794328272	122832.6268	25694.73439	125491.3287	11.81504419	287.8241543
63	0.630957365	126269.2562	27043.10984	129132.7025	12.08842814	291.9092283
64	0.501187265	129809.1155	28554.33623	132912.59	12.40587377	296.4843153
65	0.398107171	133543.7147	30303.33437	136938.7301	12.78488204	301.4444072
66	0.316227764	137378.7027	32250.61185	141113.4647	13.21135616	306.6845052
67	0.251188636	141286.313	34531.61506	145445.0229	13.73433996	312.7996142
68	0.199526235	145383.0634	37179.25685	150061.7615	14.34498222	319.4997392
69	0.158489317	149619.9986	40267.47388	154943.9041	15.0631916	327.2948832
70	0.12589255	154057.8069	43880.42006	160185.2026	15.89858937	336.4600552
71	0.100000001	158745.5091	48131.29335	165881.7593	16.86718949	347.1502511
