Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	825.0305947	273.1037096	869.0576036	18.31570665	53.04480887
2	794328.25	874.6908138	266.039479	914.2543542	16.91727477	63.38999884
3	630957.375	921.5340757	253.7335835	955.8272773	15.39426762	68.79509983
4	501187.2188	963.1846228	238.7445659	992.3323966	13.92132447	71.50514882
5	398107.1563	1000.194001	223.6727921	1024.898804	12.60561641	80.0953078
6	316227.7813	1032.838225	208.146385	1053.603206	11.39411843	82.28034879
7	251188.6406	1062.335016	193.1242277	1079.74657	10.30340586	88.96047178
8	199526.2344	1088.538439	178.9002894	1103.141535	9.333074703	91.12551277
9	158489.3125	1112.219291	165.4792738	1124.462157	8.46255641	93.50555676
10	125892.5391	1133.529959	152.979158	1143.806273	7.686095419	95.14058776
11	100000	1152.891472	141.9258534	1161.594462	7.018044749	96.87061776
12	79432.82031	1170.545554	129.3240115	1177.667863	6.304573668	102.2307187
13	63095.73438	1186.999121	122.0182224	1193.254106	5.869135948	106.8458037
14	50118.72266	1202.163972	115.6838614	1207.717256	5.496630019	114.0909387
15	39810.71875	1216.511845	110.4120999	1221.512137	5.186025895	116.8159867
16	31622.77734	1230.015162	106.1379868	1234.585992	4.931835269	125.3511447
17	25118.86523	1243.203921	102.8144869	1247.448118	4.727672436	128.9412137
18	19952.62305	1256.193412	100.3734933	1260.197098	4.568393027	131.5612597
19	15848.93164	1269.141524	98.83384991	1272.984029	4.452897222	139.6914116
20	12589.25391	1282.118604	98.00425195	1285.858837	4.37114916	150.1966036
21	10000	1295.357273	97.83185463	1299.046395	4.319064034	158.5167636
22	7943.282227	1308.804593	98.06295121	1312.473163	4.284913552	164.8318776
23	6309.573242	1322.695745	98.60248332	1326.365894	4.263320404	171.4169996
24	5011.872559	1336.905748	99.3880036	1340.595001	4.251651371	183.3172205
25	3981.071777	1351.634539	100.1683057	1355.341144	4.238385894	185.4222575
26	3162.277588	1366.491726	100.9686386	1370.216882	4.225845698	187.3272915
27	2511.886475	1381.941281	101.5095597	1385.664424	4.201077781	189.1523255
28	1995.262329	1397.6469	101.8539307	1401.353303	4.168078657	191.0023615
29	1584.893188	1413.448122	101.585171	1417.093906	4.110805992	192.7323945
30	1258.925415	1429.409638	100.8713792	1432.964392	4.036588871	194.4824275
31	1000	1445.408121	99.3570971	1448.818991	3.932315864	196.5674655
32	794.3282471	1460.816144	97.09841296	1464.039586	3.802776868	198.7475035
33	630.9573364	1476.075656	94.49682555	1479.097358	3.663017361	200.7725415
34	501.1872253	1489.78885	91.15949093	1492.575248	3.501536508	202.5675735
35	398.1071777	1502.686752	87.60102429	1505.237993	3.336353851	204.3676095
36	316.2277832	1514.359069	84.09374065	1516.692173	3.178422507	206.3876465
37	251.1886444	1524.611393	81.02922601	1526.763123	3.042262971	208.4176835
38	199.5262299	1533.396012	78.96972753	1535.428132	2.948121868	210.4727225
39	158.4893188	1540.898521	78.47663711	1542.8956	2.915505816	212.5127585
40	125.89254	1547.398236	80.03479132	1549.46664	2.960823559	214.5827975
41	100	1553.420872	84.08271917	1555.694799	3.098251386	216.6578365
42	79.43282318	1559.13061	92.66901596	1561.882136	3.401449748	218.6628714
43	63.09573364	1565.558775	103.1354908	1568.952264	3.769070943	220.8729124
44	50.11872482	1573.296355	116.9226257	1577.635041	4.250235795	222.9679544
45	39.81071854	1582.795676	134.8289471	1588.527934	4.86893244	232.8781354
46	31.62277603	1594.245672	156.557284	1601.914307	5.608547725	235.1181824
47	25.11886406	1608.633013	182.8755609	1618.994639	6.485758592	237.4032214
48	19.95262337	1626.337084	213.0623941	1640.234098	7.463672282	240.1782734
49	15.84893227	1647.08029	248.915421	1665.78281	8.593808563	242.8183204
50	12.58925438	1671.48899	290.3473661	1696.519094	9.854282093	245.6133744
51	10	1700.68034	338.2572805	1733.992966	11.24905784	248.4134234
52	7.943282604	1733.41071	395.198749	1777.890531	12.84328923	251.4484814
53	6.30957365	1771.233878	457.6845436	1829.410996	14.4882448	254.6135404
54	5.011872292	1816.676643	529.8378598	1892.364178	16.2594443	257.6735973
55	3.981071711	1870.374393	613.1429653	1968.310104	18.15009086	260.8586533
56	3.162277699	1927.798129	707.0283095	2053.361794	20.14073075	264.0187123
57	2.511886358	1993.343223	816.6323085	2154.136842	22.2779179	267.2837753
58	1.995262384	2064.604133	937.5502693	2267.507604	24.42311023	270.8038373
59	1.584893227	2147.538092	1080.928679	2404.230992	26.71766107	274.1038983
60	1.258925438	2238.030617	1240.907317	2559.029506	29.00678901	277.4939643
61	1	2341.300628	1427.577605	2742.201023	31.37220721	283.8790813
62	0.794328272	2452.942314	1649.271461	2955.845454	33.91548765	287.8241543
63	0.630957365	2594.407219	1878.875383	3203.298538	35.91213817	291.9092283
64	0.501187265	2734.518644	2163.113414	3486.639049	38.34540386	296.4843153
65	0.398107171	2894.066707	2498.833392	3823.583453	40.80841709	301.4444072
66	0.316227764	3071.667224	2889.806029	4217.359176	43.25267213	306.6845052
67	0.251188636	3268.46537	3338.517549	4672.105018	45.60746998	312.7996142
68	0.199526235	3492.757444	3866.764471	5210.683452	47.90923857	319.4997392
69	0.158489317	3748.877947	4485.74025	5846.020138	50.11340665	327.2948832
70	0.12589255	4046.972968	5216.290425	6602.096334	52.19449111	336.4600552
71	0.100000001	4398.118079	6079.989066	7503.979589	54.11892609	347.1502511
