Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1000000	678.7122246	205.0619516	709.0138841	16.81134504	53.04480887
2	794328.25	712.0590412	198.1917751	739.1265507	15.55380759	63.38999884
3	630957.375	748.8185617	187.1428213	771.8495151	14.03179154	68.79509983
4	501187.2188	780.3016952	174.2698473	799.5253062	12.5896322	71.50514882
5	398107.1563	807.1846863	161.1318094	823.1103072	11.28910532	80.0953078
6	316227.7813	830.1664797	148.7807079	843.393196	10.16056408	82.28034879
7	251188.6406	851.6999094	135.8338995	862.4636711	9.061539204	88.96047178
8	199526.2344	869.5310732	124.7530255	878.4347469	8.164601788	91.12551277
9	158489.3125	885.7364939	115.0257038	893.1741427	7.399275973	93.50555676
10	125892.5391	899.9916915	106.412812	906.2608517	6.743205254	95.14058776
11	100000	913.0880975	98.86782474	918.4251306	6.179825814	96.87061776
12	79432.82031	925.4786482	90.11205434	929.855317	5.561248184	102.2307187
13	63095.73438	937.0932043	85.46638988	940.9825596	5.211171319	106.8458037
14	50118.72266	948.0038818	81.15965601	951.4716232	4.893223468	114.0909387
15	39810.71875	958.3437394	77.3690106	961.4617448	4.615592853	116.8159867
16	31622.77734	967.8802146	74.24606175	970.7237442	4.386566826	125.3511447
17	25118.86523	977.2828464	71.71641136	979.910713	4.197040319	128.9412137
18	19952.62305	986.4501771	69.66984658	988.9073968	4.039910827	131.5612597
19	15848.93164	995.3288078	68.17161614	997.6606662	3.918157771	139.6914116
20	12589.25391	1004.297218	67.2246369	1006.544611	3.829494642	150.1966036
21	10000	1013.334613	66.65316763	1015.524339	3.763270152	158.5167636
22	7943.282227	1022.28153	66.56050833	1024.446108	3.725256435	164.8318776
23	6309.573242	1031.500569	66.65689569	1033.652053	3.697386155	171.4169996
24	5011.872559	1040.857233	67.09416902	1043.017453	3.688211405	183.3172205
25	3981.071777	1050.532533	67.5925882	1052.704784	3.681408221	185.4222575
26	3162.277588	1060.441368	68.14423387	1062.628595	3.676786077	187.3272915
27	2511.886475	1070.617217	68.73300644	1072.821258	3.673314854	189.1523255
28	1995.262329	1080.870153	69.19622226	1083.082825	3.663019537	191.0023615
29	1584.893188	1091.513212	69.43141436	1093.719257	3.639694361	192.7323945
30	1258.925415	1101.887814	69.54923733	1104.080546	3.611618648	194.4824275
31	1000	1112.541888	69.19635288	1114.691701	3.559019691	196.5674655
32	794.3282471	1122.864291	68.67365777	1124.96235	3.499813717	198.7475035
33	630.9573364	1132.867145	68.01653976	1134.90714	3.435873471	200.7725415
34	501.1872253	1142.350916	67.2953985	1144.331371	3.371373265	202.5675735
35	398.1071777	1151.344331	66.71640598	1153.275703	3.316382867	204.3676095
36	316.2277832	1159.650702	66.49294584	1161.555449	3.281676292	206.3876465
37	251.1886444	1167.299633	66.92289237	1169.21645	3.281253899	208.4176835
38	199.5262299	1174.593783	68.4059331	1176.584008	3.33302394	210.4727225
39	158.4893188	1181.1104	71.17186089	1183.25281	3.44838409	212.5127585
40	125.89254	1187.665896	75.74129547	1190.078579	3.648995673	214.5827975
41	100	1194.101983	82.2994282	1196.934728	3.942682287	216.6578365
42	79.43282318	1201.164924	92.34279602	1204.709246	4.396120703	218.6628714
43	63.09573364	1208.918559	103.8946083	1213.374703	4.911937294	220.8729124
44	50.11872482	1217.870088	118.094902	1223.582428	5.538563361	222.9679544
45	39.81071854	1228.681423	135.858151	1236.16968	6.309695753	232.8781354
46	31.62277603	1241.808127	157.0559825	1251.700446	7.208135069	235.1181824
47	25.11886406	1256.395848	182.0843667	1269.52166	8.246232015	237.4032214
48	19.95262337	1275.162077	211.210986	1292.535649	9.404778832	240.1782734
49	15.84893227	1296.165224	245.0210524	1319.120769	10.70461327	242.8183204
50	12.58925438	1321.264576	284.0323337	1351.449018	12.13224087	245.6133744
51	10	1351.162964	328.6934251	1390.568489	13.67259483	248.4134234
52	7.943282604	1384.824957	380.3033919	1436.09569	15.35611393	251.4484814
53	6.30957365	1423.409285	436.6934882	1488.890592	17.05570146	254.6135404
54	5.011872292	1469.166254	501.0288065	1552.249769	18.83088251	257.6735973
55	3.981071711	1522.537968	574.2885288	1627.245887	20.66605398	260.8586533
56	3.162277699	1579.149289	655.1332119	1709.652597	22.53183395	264.0187123
57	2.511886358	1641.879946	747.8396734	1804.17126	24.48820596	267.2837753
58	1.995262384	1708.923386	849.7187351	1908.518029	26.43769471	270.8038373
59	1.584893227	1784.411956	969.1396365	2030.605246	28.50701736	274.1038983
60	1.258925438	1866.140198	1102.406198	2167.435966	30.57210325	277.4939643
61	1	1957.004331	1256.840099	2325.835976	32.70965297	283.8790813
62	0.794328272	2054.229332	1440.55819	2508.99702	35.04061742	287.8241543
63	0.630957365	2165.351674	1644.131396	2718.807812	37.20906472	291.9092283
64	0.501187265	2283.407845	1875.799912	2955.093348	39.40281014	296.4843153
65	0.398107171	2432.431723	2144.678753	3242.895471	41.40267342	301.4444072
66	0.316227764	2583.316999	2469.722961	3573.941552	43.71218851	306.6845052
67	0.251188636	2749.414522	2843.620245	3955.43377	45.9649645	312.7996142
68	0.199526235	2938.522124	3284.363894	4407.03511	48.18098556	319.4997392
69	0.158489317	3155.583623	3803.200923	4941.866577	50.31690072	327.2948832
70	0.12589255	3408.13947	4417.753864	5579.602481	52.35109538	336.4600552
71	0.100000001	3704.424399	5143.032726	6338.260467	54.23554277	347.1502511
